"id","period","userperiod","round","instructions","byear","gender","race","ideo1","ideo2","ideo3","ideo4","ideo5","ideo6","ideo7","ideo8","ideo9","ideo10","sp","ideo_test","noise","ideology","ideology.noise","mg","group","group_id","prop1","prop2","prop3","offer","vote","vote_result","pd1","pd2","pd3","earnings","payment","pay_period","select_period","select_earn","payoffdictator","final_earnings","demand","comment","session","treatment","treat_inst","uni","type_student","startyear","degree","nationality","expts","t_expts","moveon","IP","client","seat"
7,3,1,2,NA,"1996","male","brown","0","-1","1","-2","-2","0","0","2","1","-2",8,"-2",-0.208974982472137,8,7.79102501752786,3,3.1,2,NA,NA,NA,"prop_3",NA,"Not Applicable",NA,NA,NA,NA,NA,NA,47,9,5,16.5,NA,NA,"GRIexpt-2015-02-25-141544","GRI",NA,"1","2",NA,"BSc Accounting and Finance","United Kingdom","1","5",NA,"155.245.28.13","cl-7",NA
10,3,1,2,NA,"1996","male","white","1","1","-1","-1","-2","2","2","1","-2","1",2,"0",-0.256622488610446,2,1.74337751138955,3,3.1,3,NA,NA,NA,"prop_3",NA,"Not Applicable",NA,NA,NA,NA,NA,NA,22,0,2,4.5,NA,NA,"GRIexpt-2015-02-25-141544","GRI",NA,"1","2",NA," Accounting and Finance","United Kingdom","0","0",NA,"155.245.28.18","cl-12",NA
1,3,1,2,NA,"1995","female","brown","1","-2","0","-2","-2","2","2","2","1","1",1,"-2",0.548494420200586,1,1.54849442020059,3,3.2,1,NA,NA,NA,"prop_3",NA,"Not Applicable",NA,NA,NA,NA,NA,NA,47,0,2,4.5,NA,NA,"GRIexpt-2015-02-25-141544","GRI",NA,"1","2",NA," English Literature","United Kingdom","1","1",NA,"155.245.28.21","cl-15",NA
15,3,1,2,NA,"1996","female","black","0","-1","-1","-1","-2","2","1","1","0","1",4,"-1",0.154277922958136,4,4.15427792295814,3,3.2,2,NA,NA,NA,"prop_3",NA,"Not Applicable",NA,NA,NA,NA,NA,NA,37,5.6,4.8,12.9,NA,NA,"GRIexpt-2015-02-25-141544","GRI",NA,"1","2",NA,"American Studies","United Kingdom","0","0",NA,"155.245.28.25","Cl-19",NA
18,3,1,2,NA,"1995","male","white","-2","-1","1","-2","-2","2","1","1","-2","0",8,"-1",0.563242828426883,8,8.56324282842688,3,3.2,3,NA,NA,NA,"prop_3",NA,"Not Applicable",NA,NA,NA,NA,NA,NA,37,5.7,1.7,9.9,NA,NA,"GRIexpt-2015-02-25-141544","GRI",NA,"1","2",NA," Computer Science","Bulgaria","1","1",NA,"155.245.28.15","cl-9",NA
12,4,1,3,NA,"1996","female","white","-2","-2","-1","0","0","2","2","1","0","1",4,"0",-0.309032764844596,4,3.6909672351554,1,1.1,1,NA,NA,NA,"prop_1",NA,"Not Applicable",NA,NA,NA,NA,NA,NA,22,7,4,13.5,NA,NA,"GRIexpt-2015-02-25-141544","GRI",NA,"1","2",NA," Law","France","1","2",NA,"155.245.28.24","cl-18",NA
14,4,1,3,NA,"1995","female","brown","1","-2","0","-1","-1","2","1","1","0","-1",5,"0",0.214994397573173,5,5.21499439757317,1,1.1,2,NA,NA,NA,"prop_1",NA,"Not Applicable",NA,NA,NA,NA,NA,NA,17,2,4.5,9,NA,NA,"GRIexpt-2015-02-25-141544","GRI",NA,"1","2",NA," psychology","United Kingdom","1","2",NA,"155.245.28.14","cl-8",NA
17,4,1,3,NA,"1994","female","white","1","0","-1","0","-2","2","2","1","-1","1",6,"0",0.0810505338944495,6,6.08105053389445,1,1.1,3,NA,NA,NA,"prop_1",NA,"Not Applicable",NA,NA,NA,NA,NA,NA,42,2,4,8.5,NA,NA,"GRIexpt-2015-02-25-141544","GRI",NA,"1","2",NA,"Humanities","France","1","2",NA,"155.245.28.10","cl-4",NA
3,4,1,3,NA,"1993","female","white","-2","-2","1","0","-2","2","2","2","-1","0",3,"0",-0.512930653477088,3,2.48706934652291,1,1.2,1,NA,NA,NA,"prop_3",NA,"Not Applicable",NA,NA,NA,NA,NA,NA,22,2,3,7.5,NA,NA,"GRIexpt-2015-02-25-141544","GRI",NA,"1","0",NA," Language and Linguistics","Italy","1","7",NA,"155.245.28.12","cl-6",NA
13,4,1,3,NA,"1995","male","white","-1","-2","1","1","-2","1","0","2","-1","-2",2,"0",-0.598630102211609,2,1.40136989778839,1,1.2,2,NA,NA,NA,"prop_3",NA,"Not Applicable",NA,NA,NA,NA,NA,NA,22,9,1,12.5,NA,NA,"GRIexpt-2015-02-25-141544","GRI",NA,"1","2",NA," BA DRAMA","Italy","0","0",NA,"155.245.28.19","cl-13",NA
